instance_id;order_id;courier_id;store_lat;store_lng;user_lat;user_lng;courier_lat;courier_lng;vehicle_type;store_eta_lb;store_eta_ub;user_eta_lb;user_eta_ub;store_service_time;user_service_time;geohash;;;;;;;;;;;;;;;;;
0a7ac04ce;102032337;85916;3.370118408;-76.52727667;3.3745599;-76.5155311;3.374044644;-76.54153615;motorcycle;0;875;0;700;240;120;d29e4td8;3a1e169b8;66113201;232622;-8.0861163;-34.8874243;-8.113902;-34.898851;-8.064353511;-34.89542931;motorcycle;0;600;0;600;480;240;7nx1ypgy
0a7ac04ce;102032337;121793;3.370118408;-76.52727667;3.3745599;-76.5155311;3.377651552;-76.53737873;motorcycle;0;875;0;700;240;120;d29e4td8;3a1e169b8;66113201;680973;-8.0861163;-34.8874243;-8.113902;-34.898851;-8.116031406;-34.89670068;car;0;600;0;600;480;240;7nx1ypgy
0a7ac04ce;102032337;137317;3.370118408;-76.52727667;3.3745599;-76.5155311;3.384695543;-76.533629;motorcycle;0;875;0;700;240;120;d29e4td8;3a1e169b8;66113201;722928;-8.0861163;-34.8874243;-8.113902;-34.898851;-8.11617335;-34.89658803;motorcycle;0;600;0;600;480;240;7nx1ypgy
0a7ac04ce;102032337;163627;3.370118408;-76.52727667;3.3745599;-76.5155311;3.37625999;-76.5375343;motorcycle;0;875;0;700;240;120;d29e4td8;3a1e169b8;66113201;799965;-8.0861163;-34.8874243;-8.113902;-34.898851;-8.058394381;-34.89899129;motorcycle;0;600;0;600;480;240;7nx1ypgy
0a7ac04ce;102032337;166574;3.370118408;-76.52727667;3.3745599;-76.5155311;3.394312275;-76.52385503;motorcycle;0;875;0;700;240;120;d29e4td8;3a1e169b8;66113201;840347;-8.0861163;-34.8874243;-8.113902;-34.898851;-8.074031076;-34.91324455;motorcycle;0;600;0;600;480;240;7nx1ypgy
0a7ac04ce;102032337;166633;3.370118408;-76.52727667;3.3745599;-76.5155311;3.37054166;-76.51576549;motorcycle;0;875;0;700;240;120;d29e4td8;3a1e169b8;66124395;133284;-8.03842;-34.8959;-8.012938;-34.9297391;-8.047302442;-34.89950627;motorcycle;0;600;0;600;240;420;7nx4mbts
0a7ac04ce;102032337;171610;3.370118408;-76.52727667;3.3745599;-76.5155311;3.375258776;-76.53723389;motorcycle;0;875;0;700;240;120;d29e4td8;3a1e169b8;66124395;219582;-8.03842;-34.8959;-8.012938;-34.9297391;-8.047898101;-34.91749316;motorcycle;0;600;0;600;240;420;7nx4mbts
0a7ac04ce;102032337;173719;3.370118408;-76.52727667;3.3745599;-76.5155311;3.364336662;-76.53534025;motorcycle;0;875;0;700;240;120;d29e4td8;3a1e169b8;66124395;232622;-8.03842;-34.8959;-8.012938;-34.9297391;-8.064353511;-34.89542931;motorcycle;0;600;0;600;240;420;7nx4mbts
0a7ac04ce;102032337;188122;3.370118408;-76.52727667;3.3745599;-76.5155311;3.374282908;-76.53942794;bicycle;0;875;0;700;240;120;d29e4td8;3a1e169b8;66124395;392492;-8.03842;-34.8959;-8.012938;-34.9297391;-8.039556334;-34.90992934;motorcycle;0;600;0;600;240;420;7nx4mbts
0a7ac04ce;102032337;188619;3.370118408;-76.52727667;3.3745599;-76.5155311;3.374090269;-76.52016968;bicycle;0;875;0;700;240;120;d29e4td8;3a1e169b8;66124395;724468;-8.03842;-34.8959;-8.012938;-34.9297391;-8.04386029;-34.90499943;motorcycle;0;600;0;600;240;420;7nx4mbts
